0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:13:01 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:13:01 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 200 8420
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:13:01 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:13:01 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:13:01 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:13:01 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 200 82638
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:13:01 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:13:01 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 200 25098
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:13:01 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:13:01 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:13:01 +0900] "GET /board/list HTTP/1.1" 200 23771
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:32:40 +0900] "GET /board/get?bno=28 HTTP/1.1" 200 17049
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:32:40 +0900] "GET /board/get?bno=28 HTTP/1.1" 200 17049
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:32:41 +0900] "GET /board/modify?bno=28%20} HTTP/1.1" 400 1036
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:32:41 +0900] "GET /favicon.ico HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:32:45 +0900] "GET /board/get?bno=28 HTTP/1.1" 200 17049
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:33:41 +0900] "GET /board/get?bno=28 HTTP/1.1" 200 17048
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:33:41 +0900] "GET /board/get?bno=28 HTTP/1.1" 200 17048
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:33:43 +0900] "GET /board/get?bno=28 HTTP/1.1" 200 17048
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:33:44 +0900] "GET /board/get?bno=28 HTTP/1.1" 200 17048
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:33:46 +0900] "GET /board/get?bno=8 HTTP/1.1" 200 17063
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:33:46 +0900] "GET /board/get?bno=8 HTTP/1.1" 200 17063
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:33:48 +0900] "GET /board/get?bno=21 HTTP/1.1" 200 17048
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:33:48 +0900] "GET /board/get?bno=21 HTTP/1.1" 200 17048
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:33:49 +0900] "GET /board/modify?bno=21 HTTP/1.1" 200 17491
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:33:49 +0900] "GET /board/modify?bno=21 HTTP/1.1" 200 17491
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:33:56 +0900] "GET /board/get?bno=21 HTTP/1.1" 200 17048
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:33:58 +0900] "GET /board/modify?bno=21 HTTP/1.1" 200 17491
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:33:58 +0900] "GET /board/modify?bno=21 HTTP/1.1" 200 17491
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:34:01 +0900] "GET /board/get?bno=21 HTTP/1.1" 200 17048
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:34:02 +0900] "GET /board/list HTTP/1.1" 200 23771
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:34:02 +0900] "GET /board/list HTTP/1.1" 200 23771
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:34:03 +0900] "GET /board/get?bno=21 HTTP/1.1" 200 17048
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:34:13 +0900] "GET /board/modify?bno=21 HTTP/1.1" 200 17491
0:0:0:0:0:0:0:1 - - [23/Dec/2021:10:34:13 +0900] "GET /board/modify?bno=21 HTTP/1.1" 200 17491
